#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.08305  0.169510  0.035634  0.000025     4.757
   0.00838  0.99180  0.00174  1.08387  0.166559  0.035466 -0.003873     4.696
   0.01975  0.98067  0.00406  1.08503  0.163762  0.035233 -0.003821     4.648
   0.03288  0.96782  0.00670  1.08640  0.160655  0.034959 -0.003753     4.595
   0.04741  0.95357  0.00957  1.08798  0.157311  0.034651 -0.003666     4.540
   0.06289  0.93838  0.01256  1.08971  0.153818  0.034318 -0.003557     4.482
   0.07890  0.92265  0.01559  1.09156  0.150262  0.033967 -0.003425     4.424
   0.09521  0.90663  0.01860  1.09352  0.146695  0.033603 -0.003268     4.365
   0.11165  0.89046  0.02157  1.09556  0.143147  0.033231 -0.003084     4.308
   0.12817  0.87420  0.02448  1.09767  0.139637  0.032851 -0.002873     4.251
   0.14472  0.85789  0.02733  1.09986  0.136168  0.032465 -0.002632     4.194
   0.16129  0.84156  0.03012  1.10212  0.132741  0.032073 -0.002358     4.139
   0.17787  0.82521  0.03284  1.10447  0.129366  0.031674 -0.002052     4.084
   0.19445  0.80884  0.03549  1.10690  0.126030  0.031268 -0.001709     4.031
   0.21103  0.79246  0.03807  1.10941  0.122741  0.030856 -0.001329     3.978
   0.22761  0.77607  0.04059  1.11200  0.119499  0.030437 -0.000910     3.926
   0.24420  0.75967  0.04304  1.11469  0.116301  0.030011 -0.000449     3.875
   0.26077  0.74326  0.04542  1.11748  0.113146  0.029577  0.000056     3.825
   0.27735  0.72685  0.04773  1.12036  0.110039  0.029136  0.000607     3.777
   0.29392  0.71043  0.04998  1.12335  0.106968  0.028688  0.001210     3.729
   0.31048  0.69401  0.05216  1.12643  0.103947  0.028233  0.001863     3.682
   0.32704  0.67759  0.05427  1.12962  0.100967  0.027770  0.002571     3.636
   0.34359  0.66117  0.05631  1.13292  0.098029  0.027300  0.003338     3.591
   0.36012  0.64475  0.05827  1.13633  0.095132  0.026823  0.004168     3.547
   0.37665  0.62833  0.06017  1.13985  0.092280  0.026339  0.005061     3.504
   0.39317  0.61192  0.06198  1.14349  0.089465  0.025849  0.006028     3.461
   0.40967  0.59551  0.06373  1.14724  0.086694  0.025351  0.007068     3.420
   0.42615  0.57911  0.06540  1.15111  0.083961  0.024847  0.008190     3.379
   0.44262  0.56271  0.06698  1.15510  0.081270  0.024337  0.009397     3.339
   0.45908  0.54633  0.06849  1.15921  0.078617  0.023820  0.010698     3.300
   0.47551  0.52996  0.06991  1.16344  0.076003  0.023298  0.012100     3.262
   0.49192  0.51360  0.07125  1.16778  0.073426  0.022770  0.013613     3.225
   0.50831  0.49726  0.07250  1.17225  0.070887  0.022237  0.015245     3.188
   0.52468  0.48093  0.07366  1.17683  0.068384  0.021698  0.017010     3.152
   0.54101  0.46463  0.07473  1.18152  0.065920  0.021155  0.018914     3.116
   0.55731  0.44836  0.07570  1.18632  0.063485  0.020608  0.020987     3.081
   0.57357  0.43213  0.07657  1.19123  0.061088  0.020056  0.023235     3.046
   0.58977  0.41594  0.07733  1.19622  0.058723  0.019501  0.025686     3.011
   0.60589  0.39984  0.07799  1.20129  0.056392  0.018944  0.028367     2.977
   0.62188  0.38386  0.07852  1.20639  0.054116  0.018387  0.031254     2.943
   0.63779  0.36796  0.07890  1.21150  0.051910  0.017832  0.034315     2.911
   0.65362  0.35212  0.07912  1.21661  0.049768  0.017277  0.037560     2.881
   0.66941  0.33634  0.07919  1.22171  0.047682  0.016723  0.041023     2.851
   0.68513  0.32061  0.07911  1.22677  0.045655  0.016169  0.044691     2.824
   0.70081  0.30494  0.07886  1.23178  0.043676  0.015615  0.048618     2.797
   0.71642  0.28933  0.07844  1.23670  0.041754  0.015063  0.052767     2.772
   0.73197  0.27379  0.07785  1.24152  0.039874  0.014511  0.057221     2.748
   0.74746  0.25833  0.07708  1.24619  0.038043  0.013960  0.061955     2.725
   0.76286  0.24295  0.07612  1.25069  0.036247  0.013409  0.067062     2.703
   0.77818  0.22767  0.07498  1.25497  0.034495  0.012858  0.072506     2.683
   0.79341  0.21250  0.07363  1.25899  0.032775  0.012307  0.078389     2.663
   0.80853  0.19747  0.07209  1.26268  0.031089  0.011755  0.084717     2.645
   0.82352  0.18258  0.07034  1.26602  0.029425  0.011202  0.091650     2.627
   0.83835  0.16787  0.06837  1.26890  0.027786  0.010647  0.099218     2.610
   0.85301  0.15338  0.06618  1.27123  0.026173  0.010090  0.107467     2.594
   0.86743  0.13916  0.06377  1.27293  0.024573  0.009531  0.116663     2.578
   0.88157  0.12527  0.06115  1.27384  0.022995  0.008971  0.126859     2.563
   0.89532  0.11181  0.05832  1.27381  0.021435  0.008410  0.138333     2.549
   0.90858  0.09890  0.05531  1.27262  0.019906  0.007853  0.151123     2.535
   0.92119  0.08670  0.05215  1.27011  0.018412  0.007304  0.165548     2.521
   0.93299  0.07535  0.04890  1.26605  0.016971  0.006769  0.181720     2.507
   0.94384  0.06500  0.04563  1.26024  0.015595  0.006256  0.199850     2.493
   0.95363  0.05576  0.04241  1.25248  0.014311  0.005773  0.219636     2.479
   0.96234  0.04762  0.03929  1.24270  0.013126  0.005323  0.240902     2.466
   0.97002  0.04054  0.03632  1.23086  0.012035  0.004909  0.264025     2.452
   0.97677  0.03441  0.03349  1.21676  0.011045  0.004529  0.288290     2.439
   0.98270  0.02912  0.03083  1.20028  0.010132  0.004180  0.314803     2.424
   0.98794  0.02453  0.02830  1.18094  0.009308  0.003863  0.341870     2.410
   0.99259  0.02055  0.02589  1.15856  0.008559  0.003571  0.369563     2.397
   0.99676  0.01707  0.02360  1.13275  0.007862  0.003301  0.399294     2.382
   1.00051  0.01404  0.02138  1.10265  0.007230  0.003053  0.428472     2.368
   1.00393  0.01138  0.01924  1.06772  0.006643  0.002823  0.458196     2.353
   1.00705  0.00906  0.01715  1.02693  0.006109  0.002611  0.485674     2.339
   1.00992  0.00704  0.01510  0.97935  0.005612  0.002415  0.511584     2.324
   1.01259  0.00530  0.01308  0.92320  0.005157  0.002236  0.533904     2.306
   1.01508  0.00381  0.01109  0.85725  0.004771  0.002079  0.541611     2.295
   1.01741  0.00258  0.00911  0.78100  0.004410  0.001937  0.542576     2.277
   1.01961  0.00159  0.00714  0.69276  0.004120  0.001819  0.520595     2.266
   1.02170  0.00084  0.00520  0.59322  0.003874  0.001721  0.480261     2.251
   1.02368  0.00034  0.00328  0.48294  0.003706  0.001655  0.413138     2.240
   1.02558  0.00006  0.00140  0.36669  0.003599  0.001607  0.323151     2.239
   1.02740  0.00001 -0.00042  0.24726  0.003496  0.001567  0.225998     2.231
