#      x          Cp  
     1.00000   -0.17299
     0.99180   -0.17477
     0.98067   -0.17729
     0.96782   -0.18027
     0.95357   -0.18369
     0.93838   -0.18747
     0.92265   -0.19151
     0.90663   -0.19578
     0.89046   -0.20024
     0.87420   -0.20488
     0.85789   -0.20969
     0.84156   -0.21468
     0.82521   -0.21985
     0.80884   -0.22522
     0.79246   -0.23078
     0.77607   -0.23655
     0.75967   -0.24254
     0.74326   -0.24876
     0.72685   -0.25521
     0.71043   -0.26190
     0.69401   -0.26884
     0.67759   -0.27604
     0.66117   -0.28351
     0.64475   -0.29125
     0.62833   -0.29927
     0.61192   -0.30757
     0.59551   -0.31617
     0.57911   -0.32506
     0.56271   -0.33426
     0.54633   -0.34377
     0.52996   -0.35359
     0.51360   -0.36372
     0.49726   -0.37417
     0.48093   -0.38493
     0.46463   -0.39599
     0.44836   -0.40736
     0.43213   -0.41902
     0.41594   -0.43094
     0.39984   -0.44309
     0.38386   -0.45537
     0.36796   -0.46773
     0.35212   -0.48014
     0.33634   -0.49257
     0.32061   -0.50497
     0.30494   -0.51729
     0.28933   -0.52943
     0.27379   -0.54137
     0.25833   -0.55299
     0.24295   -0.56423
     0.22767   -0.57494
     0.21250   -0.58505
     0.19747   -0.59437
     0.18258   -0.60281
     0.16787   -0.61011
     0.15338   -0.61602
     0.13916   -0.62035
     0.12527   -0.62266
     0.11181   -0.62259
     0.09890   -0.61957
     0.08670   -0.61318
     0.07535   -0.60287
     0.06500   -0.58820
     0.05576   -0.56871
     0.04762   -0.54430
     0.04054   -0.51502
     0.03441   -0.48050
     0.02912   -0.44068
     0.02453   -0.39462
     0.02055   -0.34226
     0.01707   -0.28311
     0.01404   -0.21585
     0.01138   -0.14004
     0.00906   -0.05459
     0.00704    0.04088
     0.00530    0.14770
     0.00381    0.26513
     0.00258    0.39003
     0.00159    0.52008
     0.00084    0.64809
     0.00034    0.76677
     0.00006    0.86554
     0.00001    0.93886
     0.00016    0.98566
     0.00056    0.99979
     0.00122    0.97797
     0.00215    0.92384
     0.00334    0.84746
     0.00480    0.75779
     0.00653    0.66323
     0.00853    0.56986
     0.01081    0.48045
     0.01339    0.39668
     0.01631    0.32014
     0.01960    0.25023
     0.02333    0.18698
     0.02758    0.12960
     0.03242    0.07830
     0.03799    0.03201
     0.04440   -0.00928
     0.05182   -0.04574
     0.06037   -0.07735
     0.07015   -0.10412
     0.08115   -0.12646
     0.09331   -0.14426
     0.10645   -0.15810
     0.12039   -0.16861
     0.13494   -0.17622
     0.14995   -0.18164
     0.16531   -0.18536
     0.18095   -0.18771
     0.19679   -0.18902
     0.21282   -0.18958
     0.22898   -0.18953
     0.24528   -0.18906
     0.26167   -0.18828
     0.27816   -0.18733
     0.29474   -0.18619
     0.31138   -0.18505
     0.32809   -0.18386
     0.34486   -0.18273
     0.36167   -0.18166
     0.37851   -0.18070
     0.39535   -0.17988
     0.41214   -0.17921
     0.42890   -0.17854
     0.44566   -0.17789
     0.46243   -0.17722
     0.47923   -0.17657
     0.49605   -0.17593
     0.51289   -0.17530
     0.52976   -0.17468
     0.54664   -0.17408
     0.56354   -0.17352
     0.58046   -0.17299
     0.59740   -0.17250
     0.61435   -0.17205
     0.63131   -0.17166
     0.64828   -0.17132
     0.66526   -0.17103
     0.68226   -0.17081
     0.69925   -0.17065
     0.71626   -0.17056
     0.73327   -0.17053
     0.75028   -0.17058
     0.76729   -0.17069
     0.78431   -0.17088
     0.80132   -0.17113
     0.81833   -0.17145
     0.83534   -0.17183
     0.85233   -0.17228
     0.86931   -0.17278
     0.88624   -0.17332
     0.90311   -0.17388
     0.91982   -0.17447
     0.93623   -0.17504
     0.95206   -0.17553
     0.96689   -0.17589
     0.98019   -0.17597
     0.99163   -0.17571
     1.00000   -0.17299
