#      x          Cp  
     1.00000    0.30286
     0.99180    0.24588
     0.98067    0.19554
     0.96782    0.14714
     0.95357    0.10379
     0.93838    0.06581
     0.92265    0.03271
     0.90663    0.00366
     0.89046   -0.02214
     0.87420   -0.04536
     0.85789   -0.06648
     0.84156   -0.08585
     0.82521   -0.10374
     0.80884   -0.12032
     0.79246   -0.13572
     0.77607   -0.15000
     0.75967   -0.16314
     0.74326   -0.17513
     0.72685   -0.18605
     0.71043   -0.19663
     0.69401   -0.21013
     0.67759   -0.23612
     0.66117   -0.28148
     0.64475   -0.30388
     0.62833   -0.31007
     0.61192   -0.31794
     0.59551   -0.32671
     0.57911   -0.33611
     0.56271   -0.34605
     0.54633   -0.35646
     0.52996   -0.36729
     0.51360   -0.37851
     0.49726   -0.39009
     0.48094   -0.40201
     0.46464   -0.41427
     0.44836   -0.42692
     0.43213   -0.44002
     0.41594   -0.45361
     0.39984   -0.46834
     0.38386   -0.48271
     0.36796   -0.49534
     0.35212   -0.50680
     0.33634   -0.51711
     0.32061   -0.52636
     0.30494   -0.53455
     0.28933   -0.54168
     0.27379   -0.54769
     0.25833   -0.55254
     0.24295   -0.55614
     0.22767   -0.55841
     0.21251   -0.55923
     0.19747   -0.55846
     0.18258   -0.55594
     0.16788   -0.55150
     0.15338   -0.54489
     0.13916   -0.53588
     0.12527   -0.52416
     0.11181   -0.50942
     0.09891   -0.49132
     0.08670   -0.46956
     0.07535   -0.44395
     0.06501   -0.41440
     0.05576   -0.38094
     0.04762   -0.34365
     0.04054   -0.30254
     0.03441   -0.25752
     0.02912   -0.20826
     0.02453   -0.15432
     0.02055   -0.09504
     0.01707   -0.02963
     0.01404    0.04280
     0.01138    0.12318
     0.00906    0.21237
     0.00704    0.31089
     0.00530    0.41861
     0.00381    0.53397
     0.00258    0.65343
     0.00159    0.77011
     0.00084    0.87414
     0.00034    0.95295
     0.00006    0.99509
     0.00001    0.99377
     0.00016    0.94574
     0.00056    0.84878
     0.00122    0.71249
     0.00215    0.55395
     0.00334    0.39273
     0.00480    0.24281
     0.00653    0.11203
     0.00853    0.00242
     0.01081   -0.08701
     0.01339   -0.15870
     0.01631   -0.21540
     0.01960   -0.25965
     0.02333   -0.29363
     0.02758   -0.31908
     0.03242   -0.33738
     0.03799   -0.34960
     0.04441   -0.35651
     0.05182   -0.35877
     0.06037   -0.35691
     0.07015   -0.35145
     0.08116   -0.34300
     0.09331   -0.33224
     0.10646   -0.31983
     0.12040   -0.30640
     0.13494   -0.29244
     0.14996   -0.27831
     0.16532   -0.26425
     0.18095   -0.25041
     0.19680   -0.23691
     0.21282   -0.22380
     0.22899   -0.21115
     0.24528   -0.19898
     0.26168   -0.18732
     0.27817   -0.17619
     0.29474   -0.16562
     0.31139   -0.15564
     0.32810   -0.14627
     0.34486   -0.13758
     0.36167   -0.12963
     0.37851   -0.12253
     0.39536   -0.11667
     0.41215   -0.11195
     0.42890   -0.10647
     0.44566   -0.10067
     0.46244   -0.09463
     0.47923   -0.08846
     0.49605   -0.08224
     0.51289   -0.07603
     0.52976   -0.06988
     0.54664   -0.06384
     0.56354   -0.05795
     0.58046   -0.05226
     0.59740   -0.04683
     0.61435   -0.04174
     0.63131   -0.03715
     0.64828   -0.03336
     0.66527   -0.03117
     0.68226   -0.02226
     0.69926   -0.00074
     0.71626    0.01621
     0.73327    0.02541
     0.75028    0.03087
     0.76730    0.03545
     0.78431    0.04020
     0.80132    0.04546
     0.81833    0.05133
     0.83534    0.05786
     0.85233    0.06515
     0.86931    0.07332
     0.88624    0.08257
     0.90311    0.09319
     0.91982    0.10560
     0.93623    0.12041
     0.95206    0.13850
     0.96689    0.16102
     0.98019    0.19057
     0.99163    0.22776
     1.00000    0.30286
