#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  0.98481 -0.17365  1.13201  0.340648  0.079950  0.000356     4.261
   0.00838  0.97703 -0.17051  1.13293  0.338311  0.079562 -0.006108     4.252
   0.01975  0.96648 -0.16629  1.13421  0.334338  0.079034 -0.005929     4.230
   0.03288  0.95428 -0.16146  1.13570  0.329757  0.078419 -0.005708     4.205
   0.04741  0.94074 -0.15616  1.13740  0.324659  0.077731 -0.005440     4.177
   0.06289  0.92631 -0.15058  1.13924  0.319248  0.076992 -0.005131     4.147
   0.07890  0.91134 -0.14486  1.14120  0.313656  0.076218 -0.004783     4.115
   0.09521  0.89609 -0.13912  1.14324  0.307975  0.075421 -0.004397     4.083
   0.11165  0.88067 -0.13338  1.14535  0.302262  0.074608 -0.003974     4.051
   0.12817  0.86517 -0.12769  1.14753  0.296546  0.073781 -0.003515     4.019
   0.14472  0.84961 -0.12205  1.14977  0.290838  0.072942 -0.003017     3.987
   0.16129  0.83401 -0.11648  1.15208  0.285147  0.072092 -0.002480     3.955
   0.17787  0.81837 -0.11096  1.15446  0.279477  0.071231 -0.001900     3.924
   0.19445  0.80271 -0.10551  1.15690  0.273830  0.070358 -0.001277     3.892
   0.21103  0.78703 -0.10012  1.15941  0.268207  0.069474 -0.000607     3.861
   0.22761  0.77133 -0.09479  1.16199  0.262605  0.068579  0.000114     3.829
   0.24420  0.75560 -0.08953  1.16465  0.257027  0.067672  0.000888     3.798
   0.26077  0.73986 -0.08434  1.16739  0.251473  0.066753  0.001718     3.767
   0.27735  0.72410 -0.07921  1.17021  0.245942  0.065822  0.002609     3.736
   0.29392  0.70832 -0.07414  1.17311  0.240435  0.064879  0.003564     3.706
   0.31048  0.69253 -0.06915  1.17610  0.234951  0.063924  0.004588     3.675
   0.32704  0.67672 -0.06422  1.17917  0.229487  0.062956  0.005689     3.645
   0.34358  0.66090 -0.05936  1.18234  0.224043  0.061976  0.006871     3.615
   0.36012  0.64507 -0.05457  1.18561  0.218622  0.060982  0.008139     3.585
   0.37665  0.62923 -0.04986  1.18898  0.213221  0.059976  0.009501     3.555
   0.39316  0.61338 -0.04522  1.19245  0.207839  0.058957  0.010967     3.525
   0.40967  0.59753 -0.04065  1.19603  0.202475  0.057925  0.012545     3.495
   0.42615  0.58166 -0.03616  1.19973  0.197129  0.056879  0.014246     3.466
   0.44262  0.56580 -0.03175  1.20354  0.191808  0.055820  0.016074     3.436
   0.45908  0.54992 -0.02742  1.20747  0.186503  0.054747  0.018050     3.407
   0.47551  0.53405 -0.02317  1.21153  0.181221  0.053661  0.020179     3.377
   0.49192  0.51817 -0.01902  1.21571  0.175961  0.052561  0.022479     3.348
   0.50831  0.50229 -0.01495  1.22003  0.170720  0.051447  0.024968     3.318
   0.52468  0.48642 -0.01097  1.22449  0.165508  0.050320  0.027654     3.289
   0.54101  0.47055 -0.00709  1.22909  0.160313  0.049179  0.030572     3.260
   0.55731  0.45470 -0.00331  1.23384  0.155132  0.048024  0.033757     3.230
   0.57357  0.43886  0.00037  1.23874  0.149962  0.046856  0.037245     3.201
   0.58977  0.42305  0.00393  1.24379  0.144817  0.045675  0.041054     3.171
   0.60589  0.40731  0.00737  1.24899  0.139696  0.044483  0.045235     3.140
   0.62188  0.39166  0.01067  1.25431  0.134630  0.043285  0.049784     3.110
   0.63778  0.37607  0.01380  1.25977  0.129628  0.042079  0.054707     3.081
   0.65362  0.36051  0.01677  1.26538  0.124681  0.040863  0.060052     3.051
   0.66940  0.34498  0.01959  1.27113  0.119793  0.039636  0.065850     3.022
   0.68513  0.32948  0.02223  1.27702  0.114957  0.038399  0.072162     2.994
   0.70080  0.31400  0.02471  1.28305  0.110175  0.037152  0.079046     2.966
   0.71642  0.29856  0.02701  1.28922  0.105452  0.035895  0.086546     2.938
