#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.07238  0.149244  0.025065 -0.000217     5.954
   0.00838  0.99180  0.00174  1.07292  0.146208  0.024975 -0.002963     5.854
   0.01975  0.98067  0.00406  1.07375  0.143484  0.024839 -0.002996     5.776
   0.03288  0.96782  0.00670  1.07474  0.140475  0.024680 -0.003031     5.692
   0.04741  0.95357  0.00957  1.07589  0.137249  0.024498 -0.003069     5.602
   0.06289  0.93838  0.01256  1.07717  0.133883  0.024300 -0.003103     5.510
   0.07890  0.92265  0.01559  1.07855  0.130458  0.024090 -0.003134     5.415
   0.09521  0.90663  0.01860  1.08002  0.127024  0.023871 -0.003164     5.321
   0.11165  0.89046  0.02157  1.08158  0.123607  0.023644 -0.003191     5.228
   0.12817  0.87420  0.02448  1.08322  0.120229  0.023411 -0.003212     5.136
   0.14472  0.85789  0.02733  1.08495  0.116890  0.023171 -0.003225     5.045
   0.16129  0.84156  0.03012  1.08676  0.113594  0.022924 -0.003225     4.955
   0.17787  0.82521  0.03284  1.08866  0.110349  0.022671 -0.003211     4.867
   0.19445  0.80884  0.03549  1.09065  0.107145  0.022412 -0.003179     4.781
   0.21103  0.79246  0.03807  1.09274  0.103991  0.022147 -0.003126     4.696
   0.22761  0.77607  0.04059  1.09494  0.100885  0.021874 -0.003050     4.612
   0.24420  0.75967  0.04304  1.09723  0.097827  0.021596 -0.002947     4.530
   0.26077  0.74326  0.04542  1.09964  0.094815  0.021310 -0.002814     4.449
   0.27735  0.72685  0.04773  1.10216  0.091856  0.021018 -0.002647     4.370
   0.29392  0.71043  0.04998  1.10480  0.088939  0.020720 -0.002443     4.292
   0.31048  0.69401  0.05216  1.10755  0.086077  0.020416 -0.002197     4.216
   0.32704  0.67759  0.05427  1.11041  0.083263  0.020107 -0.001906     4.141
   0.34359  0.66117  0.05631  1.11340  0.080498  0.019791 -0.001565     4.067
   0.36012  0.64475  0.05827  1.11653  0.077780  0.019468 -0.001171     3.995
   0.37665  0.62833  0.06017  1.11979  0.075117  0.019139 -0.000720     3.925
   0.39317  0.61192  0.06198  1.12320  0.072497  0.018802 -0.000206     3.856
   0.40967  0.59551  0.06373  1.12676  0.069931  0.018458  0.000372     3.789
   0.42615  0.57911  0.06540  1.13048  0.067411  0.018107  0.001022     3.723
   0.44262  0.56271  0.06698  1.13437  0.064943  0.017748  0.001747     3.659
   0.45908  0.54633  0.06849  1.13841  0.062523  0.017382  0.002554     3.597
   0.47551  0.52996  0.06991  1.14264  0.060153  0.017009  0.003447     3.537
   0.49192  0.51360  0.07125  1.14703  0.057830  0.016629  0.004435     3.478
   0.50831  0.49726  0.07250  1.15159  0.055555  0.016242  0.005524     3.420
   0.52468  0.48093  0.07366  1.15633  0.053328  0.015850  0.006725     3.365
   0.54101  0.46463  0.07473  1.16124  0.051151  0.015451  0.008043     3.311
   0.55731  0.44836  0.07570  1.16632  0.049014  0.015047  0.009500     3.258
   0.57357  0.43213  0.07657  1.17156  0.046925  0.014638  0.011103     3.206
   0.58977  0.41594  0.07733  1.17694  0.044880  0.014224  0.012871     3.155
   0.60589  0.39984  0.07799  1.18246  0.042879  0.013808  0.014830     3.105
   0.62188  0.38386  0.07852  1.18806  0.040942  0.013391  0.016956     3.057
   0.63779  0.36796  0.07890  1.19372  0.039084  0.012974  0.019222     3.012
   0.65362  0.35212  0.07912  1.19942  0.037298  0.012558  0.021635     2.970
   0.66941  0.33634  0.07919  1.20515  0.035576  0.012142  0.024214     2.930
   0.68513  0.32061  0.07911  1.21087  0.033922  0.011726  0.026950     2.893
   0.70081  0.30494  0.07886  1.21656  0.032323  0.011312  0.029878     2.857
   0.71642  0.28933  0.07844  1.22217  0.030788  0.010900  0.032966     2.825
   0.73197  0.27379  0.07785  1.22770  0.029300  0.010488  0.036274     2.794
   0.74746  0.25833  0.07708  1.23308  0.027868  0.010079  0.039771     2.765
   0.76286  0.24295  0.07612  1.23830  0.026476  0.009671  0.043535     2.738
   0.77818  0.22767  0.07498  1.24328  0.025132  0.009265  0.047523     2.712
   0.79341  0.21250  0.07363  1.24800  0.023824  0.008860  0.051806     2.689
   0.80853  0.19747  0.07209  1.25239  0.022555  0.008457  0.056383     2.667
   0.82352  0.18258  0.07034  1.25643  0.021310  0.008053  0.061375     2.646
   0.83835  0.16787  0.06837  1.26001  0.020092  0.007649  0.066799     2.627
   0.85301  0.15338  0.06618  1.26304  0.018905  0.007246  0.072637     2.609
   0.86743  0.13916  0.06377  1.26546  0.017732  0.006842  0.079139     2.592
   0.88157  0.12527  0.06115  1.26712  0.016581  0.006437  0.086297     2.576
   0.89532  0.11181  0.05832  1.26790  0.015447  0.006034  0.094331     2.560
   0.90858  0.09890  0.05531  1.26758  0.014340  0.005634  0.103237     2.546
   0.92119  0.08670  0.05215  1.26602  0.013262  0.005239  0.113224     2.531
   0.93299  0.07535  0.04890  1.26304  0.012221  0.004855  0.124459     2.517
   0.94384  0.06500  0.04563  1.25844  0.011227  0.004486  0.137115     2.503
   0.95363  0.05576  0.04241  1.25199  0.010300  0.004138  0.150899     2.489
