#      x          Cp  
     1.00000   -0.20175
     0.99180   -0.20406
     0.98067   -0.20728
     0.96782   -0.21105
     0.95357   -0.21533
     0.93838   -0.21996
     0.92265   -0.22486
     0.90663   -0.22995
     0.89046   -0.23520
     0.87420   -0.24058
     0.85789   -0.24609
     0.84156   -0.25172
     0.82521   -0.25748
     0.80884   -0.26335
     0.79246   -0.26935
     0.77607   -0.27548
     0.75967   -0.28173
     0.74326   -0.28812
     0.72685   -0.29464
     0.71043   -0.30128
     0.69401   -0.30807
     0.67759   -0.31498
     0.66117   -0.32204
     0.64475   -0.32923
     0.62833   -0.33657
     0.61192   -0.34404
     0.59551   -0.35165
     0.57911   -0.35941
     0.56271   -0.36730
     0.54633   -0.37533
     0.52996   -0.38349
     0.51360   -0.39178
     0.49726   -0.40020
     0.48093   -0.40873
     0.46463   -0.41737
     0.44836   -0.42610
     0.43213   -0.43491
     0.41594   -0.44376
     0.39984   -0.45263
     0.38386   -0.46143
     0.36796   -0.47011
     0.35212   -0.47866
     0.33634   -0.48703
     0.32061   -0.49517
     0.30494   -0.50304
     0.28933   -0.51056
     0.27379   -0.51765
     0.25833   -0.52422
     0.24295   -0.53016
     0.22767   -0.53536
     0.21250   -0.53964
     0.19747   -0.54283
     0.18258   -0.54471
     0.16787   -0.54502
     0.15338   -0.54342
     0.13916   -0.53951
     0.12527   -0.53282
     0.11181   -0.52279
     0.09890   -0.50881
     0.08670   -0.49026
     0.07535   -0.46660
     0.06500   -0.43754
     0.05576   -0.40302
     0.04762   -0.36317
     0.04054   -0.31824
     0.03441   -0.26847
     0.02912   -0.21403
     0.02453   -0.15493
     0.02055   -0.09111
     0.01707   -0.02244
     0.01404    0.05124
     0.01138    0.13001
     0.00906    0.21386
     0.00704    0.30251
     0.00530    0.39522
     0.00381    0.49081
     0.00258    0.58734
     0.00159    0.68191
     0.00084    0.77075
     0.00034    0.84963
     0.00006    0.91441
     0.00001    0.96174
     0.00016    0.99121
     0.00056    0.99982
     0.00122    0.98563
     0.00215    0.95105
     0.00334    0.90023
     0.00480    0.83779
     0.00653    0.76817
     0.00853    0.69497
     0.01081    0.62089
     0.01339    0.54783
     0.01631    0.47693
     0.01960    0.40890
     0.02333    0.34411
     0.02758    0.28275
     0.03242    0.22487
     0.03799    0.17060
     0.04440    0.12002
     0.05182    0.07330
     0.06037    0.03071
     0.07015   -0.00736
     0.08115   -0.04063
     0.09331   -0.06902
     0.10645   -0.09270
     0.12039   -0.11210
     0.13494   -0.12783
     0.14995   -0.14048
     0.16531   -0.15063
     0.18095   -0.15876
     0.19679   -0.16529
     0.21282   -0.17051
     0.22898   -0.17471
     0.24528   -0.17807
     0.26167   -0.18078
     0.27816   -0.18295
     0.29474   -0.18471
     0.31138   -0.18614
     0.32809   -0.18730
     0.34486   -0.18829
     0.36167   -0.18912
     0.37851   -0.18985
     0.39535   -0.19053
     0.41214   -0.19115
     0.42890   -0.19166
     0.44566   -0.19209
     0.46243   -0.19245
     0.47923   -0.19273
     0.49605   -0.19296
     0.51289   -0.19314
     0.52976   -0.19328
     0.54664   -0.19339
     0.56354   -0.19347
     0.58046   -0.19355
     0.59740   -0.19361
     0.61435   -0.19366
     0.63131   -0.19373
     0.64828   -0.19380
     0.66526   -0.19388
     0.68226   -0.19398
     0.69925   -0.19411
     0.71626   -0.19425
     0.73327   -0.19442
     0.75028   -0.19462
     0.76729   -0.19485
     0.78431   -0.19511
     0.80132   -0.19540
     0.81833   -0.19573
     0.83534   -0.19609
     0.85233   -0.19649
     0.86931   -0.19692
     0.88624   -0.19739
     0.90311   -0.19789
     0.91982   -0.19842
     0.93623   -0.19898
     0.95206   -0.19955
     0.96689   -0.20013
     0.98019   -0.20069
     0.99163   -0.20121
     1.00000   -0.20175
