#      x          Cp  
     0.98481    0.16350
     0.97682    0.14770
     0.96596    0.13196
     0.95338    0.11308
     0.93940    0.09161
     0.92449    0.06814
     0.90902    0.04348
     0.89326    0.01827
     0.87735   -0.00706
     0.86135   -0.03224
     0.84531   -0.05711
     0.82923   -0.08158
     0.81314   -0.10565
     0.79703   -0.12932
     0.78090   -0.15264
     0.76476   -0.17564
     0.74861   -0.19841
     0.73246   -0.22099
     0.71630   -0.24346
     0.70013   -0.26588
     0.68395   -0.28832
     0.66777   -0.31084
     0.65159   -0.33351
     0.63541   -0.35638
     0.61922   -0.37952
     0.60304   -0.40298
     0.58686   -0.42683
     0.57068   -0.45111
     0.55450   -0.47590
     0.53833   -0.50124
     0.52217   -0.52720
     0.50601   -0.55384
     0.48987   -0.58122
     0.47373   -0.60942
     0.45761   -0.63850
     0.44150   -0.66855
     0.42540   -0.69964
     0.40933   -0.73187
     0.39327   -0.76535
     0.37723   -0.80018
     0.36123   -0.83649
     0.34525   -0.87442
     0.32930   -0.91413
     0.31339   -0.95583
     0.29752   -0.99971
     0.28170   -1.04603
     0.26593   -1.09510
     0.25023   -1.14726
     0.23460   -1.20293
     0.21906   -1.26263
     0.20363   -1.32696
     0.18833   -1.39665
     0.17319   -1.47259
     0.15826   -1.55582
     0.14360   -1.64755
     0.12930   -1.74910
     0.11548   -1.86181
     0.10229   -1.98676
     0.08991   -2.12446
     0.07851   -2.27441
     0.06821   -2.43483
     0.05907   -2.60231
     0.05105   -2.77176
     0.04405   -2.93894
     0.03795   -3.12432
     0.03263   -3.54644
     0.02795   -4.26528
     0.02382   -4.34440
     0.02017   -4.42969
     0.01692   -4.54370
     0.01402   -4.70398
     0.01143   -4.91465
     0.00913   -5.15313
     0.00710   -5.36869
     0.00533   -5.51868
     0.00380   -5.56353
     0.00252   -5.46443
     0.00150   -5.19363
     0.00072   -4.74965
     0.00018   -4.17384
    -0.00013   -3.53524
    -0.00024   -2.83860
    -0.00012   -2.11206
     0.00024   -1.41734
     0.00085   -0.80199
     0.00172   -0.29176
     0.00284    0.10984
     0.00422    0.41310
     0.00587    0.63396
     0.00781    0.78892
     0.01005    0.89246
     0.01264    0.95639
     0.01562    0.98993
     0.01906    1.00000
     0.02303    0.99195
     0.02762    0.96965
     0.03296    0.93645
     0.03916    0.89448
     0.04636    0.84645
     0.05467    0.79404
     0.06412    0.73981
     0.07469    0.68553
     0.08628    0.63315
     0.09873    0.58381
     0.11186    0.53825
     0.12555    0.49670
     0.13966    0.45906
     0.15410    0.42511
     0.16883    0.39451
     0.18377    0.36694
     0.19891    0.34208
     0.21421    0.31963
     0.22966    0.29934
     0.24523    0.28097
     0.26091    0.26433
     0.27669    0.24922
     0.29256    0.23550
     0.30851    0.22301
     0.32453    0.21164
     0.34063    0.20128
     0.35678    0.19183
     0.37299    0.18319
     0.38926    0.17530
     0.40557    0.16808
     0.42193    0.16148
     0.43834    0.15542
     0.45478    0.14987
     0.47125    0.14479
     0.48776    0.14012
     0.50430    0.13584
     0.52086    0.13192
     0.53746    0.12833
     0.55407    0.12504
     0.57071    0.12204
     0.58737    0.11931
     0.60405    0.11685
     0.62074    0.11463
     0.63745    0.11266
     0.65417    0.11093
     0.67091    0.10946
     0.68765    0.10824
     0.70441    0.10730
     0.72117    0.10664
     0.73794    0.10631
     0.75471    0.10634
     0.77149    0.10678
     0.78826    0.10770
     0.80504    0.10919
     0.82182    0.11138
     0.83859    0.11445
     0.85534    0.11861
     0.87206    0.12415
     0.88871    0.13135
     0.90521    0.14023
     0.92142    0.14989
     0.93707    0.15797
     0.95175    0.16287
     0.96498    0.16554
     0.97640    0.16622
     0.98481    0.16350
