#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  0.98481 -0.17365  0.90827  0.025722  0.009321  0.000153     2.760
   0.00934  0.97605 -0.17040  0.91506  0.022571  0.009004  0.000271     2.507
   0.02153  0.96460 -0.16620  0.92263  0.020571  0.008678  0.000362     2.371
   0.03528  0.95168 -0.16150  0.93219  0.018647  0.008298  0.000469     2.247
   0.05048  0.93739 -0.15635  0.94353  0.016861  0.007883  0.000592     2.139
   0.06688  0.92194 -0.15084  0.95654  0.015220  0.007448  0.000731     2.044
   0.08419  0.90562 -0.14508  0.97080  0.013756  0.007012  0.000881     1.962
   0.10213  0.88868 -0.13918  0.98585  0.012476  0.006592  0.001040     1.893
   0.12047  0.87133 -0.13320  1.00127  0.011374  0.006198  0.001202     1.835
   0.13908  0.85372 -0.12721  1.01670  0.010430  0.005836  0.001364     1.787
   0.15783  0.83595 -0.12122  1.03193  0.009621  0.005506  0.001524     1.747
   0.17668  0.81806 -0.11527  1.04684  0.008925  0.005205  0.001679     1.715
   0.19558  0.80011 -0.10936  1.06137  0.008321  0.004932  0.001830     1.687
   0.21451  0.78211 -0.10351  1.07551  0.007792  0.004682  0.001977     1.664
   0.23345  0.76408 -0.09770  1.08928  0.007324  0.004453  0.002119     1.645
   0.25240  0.74602 -0.09196  1.10274  0.006906  0.004242  0.002257     1.628
   0.27134  0.72795 -0.08628  1.11593  0.006529  0.004046  0.002392     1.614
   0.29028  0.70986 -0.08065  1.12891  0.006185  0.003862  0.002524     1.601
   0.30921  0.69177 -0.07510  1.14172  0.005870  0.003690  0.002654     1.591
   0.32812  0.67367 -0.06961  1.15441  0.005578  0.003527  0.002784     1.581
   0.34701  0.65557 -0.06419  1.16705  0.005306  0.003373  0.002913     1.573
   0.36588  0.63748 -0.05884  1.17966  0.005051  0.003226  0.003042     1.566
   0.38472  0.61939 -0.05356  1.19229  0.004810  0.003086  0.003172     1.559
   0.40353  0.60132 -0.04836  1.20498  0.004583  0.002951  0.003304     1.553
   0.42230  0.58326 -0.04324  1.21776  0.004366  0.002821  0.003438     1.548
   0.44104  0.56521 -0.03821  1.23067  0.004160  0.002696  0.003574     1.543
   0.45973  0.54718 -0.03327  1.24373  0.003962  0.002575  0.003714     1.538
   0.47837  0.52918 -0.02842  1.25699  0.003773  0.002459  0.003857     1.534
   0.49696  0.51121 -0.02367  1.27047  0.003590  0.002345  0.004006     1.531
   0.51550  0.49327 -0.01902  1.28418  0.003414  0.002235  0.004159     1.528
   0.53397  0.47536 -0.01449  1.29818  0.003245  0.002128  0.004318     1.524
   0.55237  0.45750 -0.01006  1.31247  0.003081  0.002025  0.004483     1.522
   0.57070  0.43968 -0.00577  1.32710  0.002922  0.001923  0.004656     1.519
   0.58895  0.42191 -0.00159  1.34208  0.002769  0.001825  0.004836     1.517
   0.60712  0.40420  0.00244  1.35745  0.002620  0.001729  0.005026     1.515
   0.62519  0.38655  0.00633  1.37324  0.002476  0.001636  0.005225     1.513
   0.64316  0.36898  0.01007  1.38948  0.002336  0.001545  0.005434     1.511
   0.66102  0.35148  0.01364  1.40622  0.002200  0.001457  0.005657     1.510
   0.67875  0.33408  0.01705  1.42349  0.002068  0.001371  0.005892     1.508
   0.69635  0.31677  0.02027  1.44133  0.001940  0.001287  0.006144     1.507
   0.71380  0.29959  0.02330  1.45979  0.001816  0.001205  0.006413     1.506
   0.73109  0.28254  0.02613  1.47893  0.001695  0.001126  0.006702     1.505
   0.74818  0.26564  0.02875  1.49880  0.001577  0.001049  0.007016     1.504
   0.76506  0.24893  0.03113  1.51947  0.001463  0.000974  0.007358     1.503
   0.78169  0.23244  0.03328  1.54100  0.001352  0.000901  0.007734     1.502
   0.79802  0.21622  0.03516  1.56344  0.001245  0.000830  0.008152     1.500
   0.81401  0.20032  0.03678  1.58686  0.001140  0.000762  0.008620     1.497
   0.82958  0.18480  0.03812  1.61128  0.001039  0.000696  0.009151     1.494
   0.84465  0.16976  0.03917  1.63672  0.000942  0.000632  0.009757     1.489
   0.85914  0.15529  0.03993  1.66313  0.000848  0.000572  0.010456     1.483
   0.87295  0.14149  0.04039  1.69043  0.000759  0.000515  0.011263     1.476
   0.88598  0.12846  0.04056  1.71843  0.000675  0.000460  0.012186     1.467
