LDC 64 64 1.000e+03
residual and conservation information
n            res              maxdiv           umom             vmom             k
1            7.51599971e+03   2.45338372e-02   9.99397728e-01   0.00000000e+00   4.99698864e-01
2            6.05853843e+02   7.67073037e-18  -5.14704864e-18   1.71365353e-19   5.61588139e-03 
3            1.06700771e+01   4.17417836e-17   1.24401611e-17  -1.78790656e-17   2.35299080e-02 
4            2.74887474e+00   4.25007252e-17   1.17642288e-17   1.36398774e-17   5.25178871e-02 
5            1.59449243e+00   8.67361738e-18  -2.47751578e-16   6.99305107e-18   5.36544752e-02 
6            6.75764277e-01   1.58293517e-17  -9.63469802e-17  -2.74671609e-18   5.14659235e-02 
7            3.02432233e-01   1.23599048e-17   1.79302687e-16  -1.11320246e-17   4.99873707e-02 
8            4.33324230e-01   3.62123526e-17  -7.18289763e-17   9.28258113e-18   4.96673935e-02 
9            8.70279332e-02   1.03812358e-17  -4.62325406e-17  -1.85415512e-18   4.78911623e-02 
10           1.28952649e-02   3.46944695e-18  -6.29056959e-17   2.24881954e-18   4.36998465e-02 
11           5.71145477e-05   1.60029935e-17   1.76300326e-16   7.85993635e-18   4.37224738e-02 
12           2.82864206e-09   1.93555499e-17  -5.63441552e-17  -6.70193644e-18   4.37211950e-02 
