LDC_unsteady 100 100 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
1            2.50000000e-03   0.00000000e+00   1.95970050e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
2            2.50000000e-03   2.50000000e-03   9.29043135e-03   3.60226172e-17  -1.77267055e-17   2.45175381e-16   6.28344035e-04 
3            2.50000000e-03   5.00000000e-03   4.84064980e-03   5.46437895e-17  -2.13147371e-17   4.07822647e-16   1.44154928e-03 
4            2.50000000e-03   7.50000000e-03   2.85670751e-03   7.19910243e-17  -4.30326619e-17   5.35375645e-16   2.09198845e-03 
5            2.50000000e-03   1.00000000e-02   2.40912965e-03   9.10729825e-17  -3.34103676e-17   6.41227658e-16   2.60992378e-03 
6            2.50000000e-03   1.25000000e-02   2.00055613e-03   1.04083409e-16  -4.84672252e-17   7.32198997e-16   3.04110813e-03 
7            2.50000000e-03   1.50000000e-02   1.66710508e-03   1.17093835e-16  -7.18487227e-17   8.12579035e-16   3.41459204e-03 
8            2.50000000e-03   1.75000000e-02   1.40380123e-03   1.26634814e-16  -8.64752877e-17   8.83726415e-16   3.74746513e-03 
9            2.50000000e-03   2.00000000e-02   1.19680283e-03   1.37043155e-16  -1.17358109e-16   9.48266937e-16   4.05009762e-03 
10           2.50000000e-03   2.25000000e-02   1.03289681e-03   1.43548368e-16  -7.45219587e-17   1.01369515e-15   4.32914640e-03 
11           2.50000000e-03   2.50000000e-02   9.27678961e-04   1.53956708e-16  -1.09219816e-16   1.06641787e-15   4.58913516e-03 
12           2.50000000e-03   2.75000000e-02   8.57497056e-04   1.69569220e-16  -1.24066610e-16   1.11868319e-15   4.83329398e-03 
13           2.50000000e-03   3.00000000e-02   7.93175714e-04   1.80411242e-16  -1.33922685e-16   1.16363692e-15   5.06402468e-03 
14           2.50000000e-03   3.25000000e-02   7.34848446e-04   1.88651178e-16  -1.64795342e-16   1.21329677e-15   5.28317225e-03 
15           2.50000000e-03   3.50000000e-02   6.82215333e-04   1.99059519e-16  -1.86465833e-16   1.26348855e-15   5.49219163e-03 
16           2.50000000e-03   3.75000000e-02   6.34810718e-04   2.12503626e-16  -1.95708657e-16   1.30919106e-15   5.69225498e-03 
17           2.50000000e-03   4.00000000e-02   5.92120636e-04   2.24213009e-16  -2.47340397e-16   1.35251849e-15   5.88432353e-03 
18           2.50000000e-03   4.25000000e-02   5.53625526e-04   2.24646690e-16  -2.84636952e-16   1.39467702e-15   6.06919745e-03 
19           2.50000000e-03   4.50000000e-02   5.18851877e-04   2.29417180e-16  -2.53286568e-16   1.43092664e-15   6.24755140e-03 
20           2.50000000e-03   4.75000000e-02   4.87372796e-04   2.31151903e-16  -2.36691499e-16   1.47202468e-15   6.41996059e-03 
21           2.50000000e-03   5.00000000e-02   4.58802243e-04   2.41560244e-16  -2.89234646e-16   1.50641083e-15   6.58692018e-03 
22           2.50000000e-03   5.25000000e-02   4.37178752e-04   2.48499138e-16  -2.46828789e-16   1.54580125e-15   6.74886013e-03 
23           2.50000000e-03   5.50000000e-02   4.19474825e-04   2.59341160e-16  -2.91250585e-16   1.57695173e-15   6.90615661e-03 
24           2.50000000e-03   5.75000000e-02   4.02692940e-04   2.64111649e-16  -3.84458090e-16   1.61470230e-15   7.05914103e-03 
25           2.50000000e-03   6.00000000e-02   3.86808267e-04   2.73652628e-16  -3.85928540e-16   1.65144320e-15   7.20810713e-03 
26           2.50000000e-03   6.25000000e-02   3.71790956e-04   2.77555756e-16  -3.66775431e-16   1.68218033e-15   7.35331676e-03 
27           2.50000000e-03   6.50000000e-02   3.57594307e-04   2.82326246e-16  -2.98819671e-16   1.71277855e-15   7.49500450e-03 
28           2.50000000e-03   6.75000000e-02   3.44183070e-04   2.88831459e-16  -3.85166210e-16   1.74184872e-15   7.63338151e-03 
29           2.50000000e-03   7.00000000e-02   3.31508344e-04   3.01408204e-16  -3.69445278e-16   1.77713950e-15   7.76863864e-03 
