actuator_ROM 240 80 5.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
1            2.50000000e-02   0.00000000e+00   3.23872854e-03   0.00000000e+00   4.80009375e+01   0.00000000e+00   2.43007032e+01
2            2.50000000e-02   2.50000000e-02   4.06515176e-03   4.26256625e-17   4.79948262e+01   2.91298348e-19   2.42937739e+01 
3            2.50000000e-02   5.00000000e-02   4.36804107e-03   3.38000027e-17   4.79882492e+01   2.42482878e-19   2.42863884e+01 
4            2.50000000e-02   7.50000000e-02   4.07972888e-03   4.63767479e-17   4.79812105e+01   9.49335543e-20   2.42785547e+01 
5            2.50000000e-02   1.00000000e-01   3.36336026e-03   5.70832444e-17   4.79737170e+01  -6.71788531e-19   2.42702813e+01 
6            2.50000000e-02   1.25000000e-01   2.65265550e-03   6.23145199e-17   4.79657786e+01   1.05784613e-18   2.42615781e+01 
7            2.50000000e-02   1.50000000e-01   2.59200531e-03   3.70794892e-17   4.79574076e+01  -1.59013479e-19   2.42524578e+01 
8            2.50000000e-02   1.75000000e-01   2.15213806e-03   4.07660017e-17   4.79486194e+01   3.29367603e-19   2.42429375e+01 
9            2.50000000e-02   2.00000000e-01   2.08349542e-03   5.28413034e-17   4.79394316e+01  -5.18299791e-19   2.42330389e+01 
10           2.50000000e-02   2.25000000e-01   1.90597774e-03   5.36137974e-17   4.79298647e+01  -3.50736905e-18   2.42227882e+01 
11           2.50000000e-02   2.50000000e-01   1.73981381e-03   6.47268697e-17   4.79199411e+01   4.09769724e-18   2.42122153e+01 
12           2.50000000e-02   2.75000000e-01   1.70515732e-03   6.22332047e-17   4.79096857e+01  -3.19217766e-18   2.42013529e+01 
13           2.50000000e-02   3.00000000e-01   1.67541204e-03   5.04425061e-17   4.78991252e+01   6.87838730e-19   2.41902347e+01 
14           2.50000000e-02   3.25000000e-01   1.63589464e-03   6.44016090e-17   4.78882885e+01  -4.14960117e-19   2.41788946e+01 
15           2.50000000e-02   3.50000000e-01   1.63964246e-03   5.85469173e-17   4.78772058e+01   3.49947030e-19   2.41673662e+01 
16           2.50000000e-02   3.75000000e-01   1.58811603e-03   5.98479599e-17   4.78659091e+01  -3.88378172e-18   2.41556821e+01 
17           2.50000000e-02   4.00000000e-01   1.59061204e-03   6.46184495e-17   4.78544315e+01  -2.94595412e-19   2.41438745e+01 
18           2.50000000e-02   4.25000000e-01   1.53055625e-03   7.98432885e-17   4.78428075e+01  -1.03252324e-18   2.41319756e+01 
19           2.50000000e-02   4.50000000e-01   1.53046495e-03   6.41847686e-17   4.78310721e+01  -4.20140915e-18   2.41200180e+01 
20           2.50000000e-02   4.75000000e-01   1.47775888e-03   6.50668265e-17   4.78192614e+01  -4.34890538e-18   2.41080350e+01 
21           2.50000000e-02   5.00000000e-01   1.46122171e-03   6.50521303e-17   4.78074116e+01  -3.39823001e-18   2.40960605e+01 
22           2.50000000e-02   5.25000000e-01   1.41764591e-03   7.69783542e-17   4.77955594e+01  -2.59835959e-18   2.40841287e+01 
23           2.50000000e-02   5.50000000e-01   1.41477114e-03   5.16080234e-17   4.77837414e+01  -8.63243040e-18   2.40722739e+01 
24           2.50000000e-02   5.75000000e-01   1.40080832e-03   6.33174069e-17   4.77719940e+01  -2.79280659e-18   2.40605292e+01 
25           2.50000000e-02   6.00000000e-01   1.39639388e-03   7.54604712e-17   4.77603531e+01  -2.32151217e-18   2.40489270e+01 
26           2.50000000e-02   6.25000000e-01   1.37647968e-03   6.12083587e-17   4.77488540e+01  -1.06035820e-17   2.40374977e+01 
27           2.50000000e-02   6.50000000e-01   1.37084781e-03   5.96311195e-17   4.77375311e+01   6.07713052e-18   2.40262700e+01 
28           2.50000000e-02   6.75000000e-01   1.34544402e-03   7.54604712e-17   4.77264178e+01  -5.64695690e-18   2.40152713e+01 
29           2.50000000e-02   7.00000000e-01   1.33896765e-03   6.93889390e-17   4.77155459e+01  -7.90628494e-18   2.40045270e+01 
