actuator_ROM 80 40 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
1            5.00000000e-02   0.00000000e+00   2.50000000e-02   1.31838984e-15   3.19981399e+01   1.93306471e-16   1.59991461e+01
2            5.00000000e-02   5.00000000e-02   2.47816370e-02   1.16573418e-15   3.19868347e+01   1.66257321e-16   1.59878766e+01 
3            5.00000000e-02   1.00000000e-01   2.47256473e-02   1.11022302e-15   3.19754869e+01   1.00505541e-16   1.59766332e+01 
4            5.00000000e-02   1.50000000e-01   2.46702118e-02   9.85322934e-16   3.19641056e+01   5.74720325e-17   1.59654227e+01 
5            5.00000000e-02   2.00000000e-01   2.46154666e-02   9.57567359e-16   3.19526991e+01   3.53498613e-17   1.59542507e+01 
6            5.00000000e-02   2.50000000e-01   2.45615394e-02   8.60422844e-16   3.19412752e+01   3.73416592e-17   1.59431227e+01 
7            5.00000000e-02   3.00000000e-01   2.45085491e-02   7.77156117e-16   3.19298410e+01   2.30854595e-17   1.59320434e+01 
8            5.00000000e-02   3.50000000e-01   2.44566052e-02   6.66133815e-16   3.19184029e+01   7.65378971e-18   1.59210169e+01 
9            5.00000000e-02   4.00000000e-01   2.44058083e-02   6.10622664e-16   3.19069669e+01   5.15673658e-18   1.59100468e+01 
10           5.00000000e-02   4.50000000e-01   2.43562494e-02   6.10622664e-16   3.18955384e+01  -1.81265051e-18   1.58991361e+01 
11           5.00000000e-02   5.00000000e-01   2.43080104e-02   5.96744876e-16   3.18841221e+01  -1.21667813e-17   1.58882874e+01 
12           5.00000000e-02   5.50000000e-01   2.42611641e-02   4.85722573e-16   3.18727225e+01  -3.44030902e-17   1.58775026e+01 
13           5.00000000e-02   6.00000000e-01   2.42157738e-02   4.54497551e-16   3.18613434e+01  -7.32226102e-17   1.58667833e+01 
14           5.00000000e-02   6.50000000e-01   2.41718945e-02   4.79217360e-16   3.18499881e+01  -3.70949609e-17   1.58561307e+01 
15           5.00000000e-02   7.00000000e-01   2.41295720e-02   5.04370851e-16   3.18386598e+01  -3.50671640e-17   1.58455456e+01 
16           5.00000000e-02   7.50000000e-01   2.40888442e-02   5.03503489e-16   3.18273611e+01  -3.07557663e-17   1.58350283e+01 
17           5.00000000e-02   8.00000000e-01   2.40497406e-02   5.22585447e-16   3.18160943e+01  -3.27344353e-17   1.58245789e+01 
18           5.00000000e-02   8.50000000e-01   2.40122832e-02   5.35595873e-16   3.18048614e+01  -5.17689597e-17   1.58141973e+01 
19           5.00000000e-02   9.00000000e-01   2.39764865e-02   5.32560107e-16   3.17936642e+01  -1.50314467e-17   1.58038830e+01 
20           5.00000000e-02   9.50000000e-01   2.39423583e-02   5.59014640e-16   3.17825042e+01  -6.04019195e-17   1.57936355e+01 
21           5.00000000e-02   1.00000000e+00   2.39098996e-02   5.61183044e-16   3.17713827e+01  -2.14197692e-17   1.57834539e+01 
22           5.00000000e-02   1.05000000e+00   2.38791053e-02   5.93709110e-16   3.17603007e+01  -5.74779617e-17   1.57733374e+01 
23           5.00000000e-02   1.10000000e+00   2.38499645e-02   5.87637577e-16   3.17492592e+01  -1.45316972e-17   1.57632849e+01 
24           5.00000000e-02   1.15000000e+00   2.38224609e-02   6.04984812e-16   3.17382592e+01   1.79587925e-17   1.57532953e+01 
25           5.00000000e-02   1.20000000e+00   2.37965734e-02   6.15826834e-16   3.17273012e+01  -1.64154985e-18   1.57433675e+01 
26           5.00000000e-02   1.25000000e+00   2.37722763e-02   6.82830528e-16   3.17163859e+01   4.08388465e-17   1.57335005e+01 
27           5.00000000e-02   1.30000000e+00   2.37495396e-02   7.43762690e-16   3.17055140e+01   3.70509152e-17   1.57236930e+01 
28           5.00000000e-02   1.35000000e+00   2.37283295e-02   8.10549544e-16   3.16946860e+01   2.32019265e-17   1.57139440e+01 
29           5.00000000e-02   1.40000000e+00   2.37086090e-02   8.51966067e-16   3.16839024e+01   3.26683667e-17   1.57042524e+01 
30           5.00000000e-02   1.45000000e+00   2.36903377e-02   9.13115070e-16   3.16731639e+01   5.95870738e-17   1.56946173e+01 
31           5.00000000e-02   1.50000000e+00   2.36734726e-02   9.74047232e-16   3.16624710e+01   6.06644997e-17   1.56850379e+01 
32           5.00000000e-02   1.55000000e+00   2.36579683e-02   1.04929086e-15   3.16518243e+01   7.86724201e-17   1.56755134e+01 
33           5.00000000e-02   1.60000000e+00   2.36437772e-02   1.14079753e-15   3.16412246e+01   3.43895377e-17   1.56660433e+01 
34           5.00000000e-02   1.65000000e+00   2.36308499e-02   1.19067083e-15   3.16306725e+01   6.65158033e-17   1.56566269e+01 
35           5.00000000e-02   1.70000000e+00   2.36191355e-02   1.23512311e-15   3.16201690e+01   4.12437283e-17   1.56472639e+01 
36           5.00000000e-02   1.75000000e+00   2.36085817e-02   1.31838984e-15   3.16097148e+01   4.82436085e-17   1.56379543e+01 
37           5.00000000e-02   1.80000000e+00   2.35991352e-02   1.38777878e-15   3.15993111e+01   2.83654393e-17   1.56286979e+01 
38           5.00000000e-02   1.85000000e+00   2.35907420e-02   1.44047101e-15   3.15889589e+01   5.94278316e-18   1.56194949e+01 
39           5.00000000e-02   1.90000000e+00   2.35833473e-02   1.49880108e-15   3.15786595e+01   6.36697726e-17   1.56103455e+01 
40           5.00000000e-02   1.95000000e+00   2.35768961e-02   1.55431223e-15   3.15684141e+01   5.62904215e-17   1.56012503e+01 
41           5.00000000e-02   2.00000000e+00   2.35713332e-02   1.59312667e-15   3.15582243e+01  -1.81807152e-17   1.55922098e+01 
42           5.00000000e-02   2.05000000e+00   2.35666032e-02   1.63194111e-15   3.15480914e+01   7.02020907e-17   1.55832248e+01 
43           5.00000000e-02   2.10000000e+00   2.35626511e-02   1.68485018e-15   3.15380173e+01  -4.82469967e-18   1.55742963e+01 
44           5.00000000e-02   2.15000000e+00   2.35594222e-02   1.73472348e-15   3.15280035e+01   7.72629573e-17   1.55654253e+01 
45           5.00000000e-02   2.20000000e+00   2.35568622e-02   1.76790006e-15   3.15180520e+01   3.53314383e-17   1.55566131e+01 
46           5.00000000e-02   2.25000000e+00   2.35549175e-02   1.79847456e-15   3.15081647e+01   5.07271091e-17   1.55478609e+01 
47           5.00000000e-02   2.30000000e+00   2.35535353e-02   1.85680464e-15   3.14983436e+01   5.72729798e-17   1.55391704e+01 
48           5.00000000e-02   2.35000000e+00   2.35526636e-02   1.83728900e-15   3.14885908e+01  -2.07760241e-17   1.55305430e+01 
49           5.00000000e-02   2.40000000e+00   2.35522515e-02   1.89561908e-15   3.14789085e+01   5.67444312e-17   1.55219805e+01 
50           5.00000000e-02   2.45000000e+00   2.35522493e-02   1.93183143e-15   3.14692990e+01   4.55907014e-17   1.55134847e+01 
51           5.00000000e-02   2.50000000e+00   2.35526083e-02   1.97064587e-15   3.14597644e+01   9.20487644e-17   1.55050574e+01 
52           5.00000000e-02   2.55000000e+00   2.35532813e-02   1.96782694e-15   3.14503071e+01   5.28006458e-17   1.54967005e+01 
53           5.00000000e-02   2.60000000e+00   2.35542225e-02   1.99579936e-15   3.14409295e+01  -3.27971157e-17   1.54884162e+01 
54           5.00000000e-02   2.65000000e+00   2.35553877e-02   2.00946031e-15   3.14316339e+01   4.55771488e-17   1.54802063e+01 
55           5.00000000e-02   2.70000000e+00   2.35567341e-02   2.02615702e-15   3.14224227e+01  -1.46489266e-16   1.54720730e+01 
56           5.00000000e-02   2.75000000e+00   2.35582206e-02   2.03179487e-15   3.14132983e+01   3.28648784e-17   1.54640183e+01 
57           5.00000000e-02   2.80000000e+00   2.35598079e-02   2.04285373e-15   3.14042630e+01  -1.53143557e-17   1.54560443e+01 
