actuator_unsteady 200 80 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
1            6.28318531e-02   0.00000000e+00   3.23322199e-03   0.00000000e+00   4.00000000e+01   0.00000000e+00   2.00000000e+01
2            6.28318531e-02   6.28318531e-02   2.06312946e-03   7.76830857e-17   3.99877230e+01   2.60020495e-03   1.99878743e+01 
3            6.28318531e-02   1.25663706e-01   1.24503785e-03   8.97312823e-17   3.99742113e+01   9.58061348e-03   1.99747756e+01 
4            6.28318531e-02   1.88495559e-01   9.63809394e-04   1.34522385e-16   3.99593911e+01   2.06768164e-02   1.99606411e+01 
5            6.28318531e-02   2.51327412e-01   7.78046841e-04   2.28658238e-16   3.99432088e+01   3.58977949e-02   1.99454615e+01 
6            6.28318531e-02   3.14159265e-01   7.09228996e-04   2.90837233e-16   3.99256165e+01   5.52428937e-02   1.99292440e+01 
7            6.28318531e-02   3.76991118e-01   7.15792193e-04   4.39643981e-16   3.99065716e+01   7.86770627e-02   1.99120028e+01 
8            6.28318531e-02   4.39822972e-01   7.22257478e-04   4.70977424e-16   3.98860379e+01   1.06151898e-01   1.98937584e+01 
9            6.28318531e-02   5.02654825e-01   7.28288767e-04   4.89408861e-16   3.98639864e+01   1.37616188e-01   1.98745388e+01 
10           6.28318531e-02   5.65486678e-01   7.33458544e-04   5.72025066e-16   3.98403954e+01   1.73015954e-01   1.98543791e+01 
11           6.28318531e-02   6.28318531e-01   7.38069488e-04   6.17019456e-16   3.98152502e+01   2.12292383e-01   1.98333210e+01 
12           6.28318531e-02   6.91150384e-01   7.42003967e-04   6.99527242e-16   3.97885434e+01   2.55381187e-01   1.98114117e+01 
13           6.28318531e-02   7.53982237e-01   7.44999659e-04   7.84203431e-16   3.97602749e+01   3.02213134e-01   1.97887035e+01 
14           6.28318531e-02   8.16814090e-01   7.47076030e-04   7.74120351e-16   3.97304515e+01   3.52714776e-01   1.97652531e+01 
15           6.28318531e-02   8.79645943e-01   7.48293798e-04   8.12067427e-16   3.96990876e+01   4.06808951e-01   1.97411214e+01 
16           6.28318531e-02   9.42477796e-01   7.48698348e-04   7.79324522e-16   3.96662043e+01   4.64415118e-01   1.97163728e+01 
17           6.28318531e-02   1.00530965e+00   7.48622622e-04   8.37004077e-16   3.96318295e+01   5.25449639e-01   1.96910748e+01 
18           6.28318531e-02   1.06814150e+00   7.47863727e-04   8.25728375e-16   3.95959982e+01   5.89826098e-01   1.96652979e+01 
19           6.28318531e-02   1.13097336e+00   7.46420141e-04   8.21825247e-16   3.95587513e+01   6.57455620e-01   1.96391144e+01 
20           6.28318531e-02   1.19380521e+00   7.44345009e-04   8.59772323e-16   3.95201364e+01   7.28247174e-01   1.96125983e+01 
21           6.28318531e-02   1.25663706e+00   7.42520986e-04   9.21571847e-16   3.94802065e+01   8.02107844e-01   1.95858252e+01 
22           6.28318531e-02   1.31946891e+00   7.40542810e-04   9.64939934e-16   3.94390204e+01   8.78943079e-01   1.95588709e+01 
23           6.28318531e-02   1.38230077e+00   7.37887040e-04   1.01568060e-15   3.93966421e+01   9.58656915e-01   1.95318119e+01 
24           6.28318531e-02   1.44513262e+00   7.34734674e-04   1.07899800e-15   3.93531404e+01   1.04115218e+00   1.95047246e+01 
25           6.28318531e-02   1.50796447e+00   7.31274438e-04   1.13971332e-15   3.93085884e+01   1.12633066e+00   1.94776845e+01 
26           6.28318531e-02   1.57079633e+00   7.27304323e-04   1.18514139e-15   3.92630632e+01   1.21409327e+00   1.94507664e+01 
27           6.28318531e-02   1.63362818e+00   7.22885302e-04   1.23918887e-15   3.92166458e+01   1.30434020e+00   1.94240438e+01 
28           6.28318531e-02   1.69646003e+00   7.18212240e-04   1.29090532e-15   3.91694200e+01   1.39697098e+00   1.93975884e+01 
29           6.28318531e-02   1.75929189e+00   7.13496770e-04   1.33199658e-15   3.91214726e+01   1.49188461e+00   1.93714698e+01 
30           6.28318531e-02   1.82212374e+00   7.09230692e-04   1.39157349e-15   3.90728926e+01   1.58897959e+00   1.93457555e+01 
31           6.28318531e-02   1.88495559e+00   7.04796332e-04   1.45472826e-15   3.90237708e+01   1.68815401e+00   1.93205101e+01 
32           6.28318531e-02   1.94778745e+00   7.00011181e-04   1.51460333e-15   3.89741998e+01   1.78930552e+00   1.92957957e+01 
33           6.28318531e-02   2.01061930e+00   6.95101507e-04   1.56358216e-15   3.89242728e+01   1.89233141e+00   1.92716711e+01 
34           6.28318531e-02   2.07345115e+00   6.90065551e-04   1.61424151e-15   3.88740840e+01   1.99712853e+00   1.92481919e+01 
35           6.28318531e-02   2.13628300e+00   6.84808658e-04   1.67693550e-15   3.88237279e+01   2.10359333e+00   1.92254104e+01 
36           6.28318531e-02   2.19911486e+00   6.79639057e-04   1.71564152e-15   3.87732985e+01   2.21162179e+00   1.92033751e+01 
