shear_layer 200 200 1.000e+100
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
1            1.00000000e-02   0.00000000e+00   1.55017145e-04   0.00000000e+00   3.94784176e+01   1.53740715e-17   3.68711987e+01
2            1.00000000e-02   1.00000000e-02   1.55091251e-04   2.53703308e-17   3.94784176e+01  -4.92221434e-17   3.68711987e+01 
3            1.00000000e-02   2.00000000e-02   1.55200289e-04   3.38271078e-17   3.94784176e+01  -4.06484759e-17   3.68711987e+01 
4            1.00000000e-02   3.00000000e-02   1.55330916e-04   3.73507648e-17   3.94784176e+01  -4.39233170e-17   3.68711987e+01 
5            1.00000000e-02   4.00000000e-02   1.55461927e-04   4.35849273e-17   3.94784176e+01   3.04042476e-18   3.68711987e+01 
6            1.00000000e-02   5.00000000e-02   1.55641647e-04   5.00901404e-17   3.94784176e+01  -2.59247139e-17   3.68711987e+01 
7            1.00000000e-02   6.00000000e-02   1.55829149e-04   4.70543743e-17   3.94784176e+01  -5.23733177e-17   3.68711987e+01 
8            1.00000000e-02   7.00000000e-02   1.56023577e-04   5.72458747e-17   3.94784176e+01  -8.22977212e-18   3.68711987e+01 
9            1.00000000e-02   8.00000000e-02   1.56267572e-04   5.69748242e-17   3.94784176e+01  -2.32993353e-17   3.68711987e+01 
10           1.00000000e-02   9.00000000e-02   1.56511474e-04   6.33174069e-17   3.94784176e+01  -1.36457008e-18   3.68711987e+01 
11           1.00000000e-02   1.00000000e-01   1.56777273e-04   7.76288755e-17   3.94784176e+01  -3.13139610e-17   3.68711987e+01 
12           1.00000000e-02   1.10000000e-01   1.57077426e-04   8.10983225e-17   3.94784176e+01  -3.22939781e-17   3.68711987e+01 
13           1.00000000e-02   1.20000000e-01   1.57376955e-04   8.89045781e-17   3.94784176e+01  -1.54447988e-17   3.68711987e+01 
14           1.00000000e-02   1.30000000e-01   1.57714614e-04   9.53555811e-17   3.94784176e+01  -1.00983268e-17   3.68711987e+01 
15           1.00000000e-02   1.40000000e-01   1.58070004e-04   1.03541307e-16   3.94784176e+01   3.21703113e-18   3.68711987e+01 
16           1.00000000e-02   1.50000000e-01   1.58424089e-04   1.10805462e-16   3.94784176e+01  -2.87601567e-17   3.68711987e+01 
17           1.00000000e-02   1.60000000e-01   1.58834129e-04   1.14329119e-16   3.94784176e+01  -4.06804514e-17   3.68711987e+01 
18           1.00000000e-02   1.70000000e-01   1.59243540e-04   1.21322223e-16   3.94784176e+01  -1.52389698e-17   3.68711987e+01 
19           1.00000000e-02   1.80000000e-01   1.59669274e-04   1.26689024e-16   3.94784176e+01  -3.11674243e-17   3.68711987e+01 
20           1.00000000e-02   1.90000000e-01   1.60133787e-04   1.34928960e-16   3.94784176e+01  -1.23344938e-17   3.68711987e+01 
21           1.00000000e-02   2.00000000e-01   1.60595705e-04   1.43006267e-16   3.94784176e+01  -2.24294324e-17   3.68711987e+01 
22           1.00000000e-02   2.10000000e-01   1.61094726e-04   1.45716772e-16   3.94784176e+01  -1.92361182e-17   3.68711987e+01 
23           1.00000000e-02   2.20000000e-01   1.61611005e-04   1.49403059e-16   3.94784176e+01  -1.69677640e-17   3.68711987e+01 
24           1.00000000e-02   2.30000000e-01   1.62126230e-04   1.59269299e-16   3.94784176e+01   7.65209565e-18   3.68711987e+01 
25           1.00000000e-02   2.40000000e-01   1.62696556e-04   1.64473470e-16   3.94784176e+01  -1.95986483e-17   3.68711987e+01 
26           1.00000000e-02   2.50000000e-01   1.63262652e-04   1.76182853e-16   3.94784176e+01  -4.62632455e-17   3.68711987e+01 
27           1.00000000e-02   2.60000000e-01   1.63852183e-04   1.80519662e-16   3.94784176e+01  -3.75523587e-17   3.68711987e+01 
28           1.00000000e-02   2.70000000e-01   1.64471385e-04   1.88976439e-16   3.94784176e+01  -1.79926739e-17   3.68711987e+01 
29           1.00000000e-02   2.80000000e-01   1.65085066e-04   1.96565854e-16   3.94784176e+01  -1.93089631e-17   3.68711987e+01 
30           1.00000000e-02   2.90000000e-01   1.65749604e-04   2.04263689e-16   3.94784176e+01  -5.42778713e-18   3.68711987e+01 
31           1.00000000e-02   3.00000000e-01   1.66415316e-04   2.14021509e-16   3.94784176e+01  -6.06644997e-18   3.68711987e+01 
32           1.00000000e-02   3.10000000e-01   1.67097071e-04   2.15322551e-16   3.94784176e+01  -8.81930705e-18   3.68711987e+01 
33           1.00000000e-02   3.20000000e-01   1.67814359e-04   2.18249897e-16   3.94784176e+01  -1.19922925e-17   3.68711987e+01 
34           1.00000000e-02   3.30000000e-01   1.68523936e-04   2.22044605e-16   3.94784176e+01  -9.93569647e-18   3.68711987e+01 
35           1.00000000e-02   3.40000000e-01   1.69281921e-04   2.31368744e-16   3.94784176e+01   1.71541112e-17   3.68711987e+01 
36           1.00000000e-02   3.50000000e-01   1.70041815e-04   2.35705552e-16   3.94784176e+01  -2.06371107e-17   3.68711987e+01 
37           1.00000000e-02   3.60000000e-01   1.70817712e-04   2.39825521e-16   3.94784176e+01  -2.01390554e-17   3.68711987e+01 
38           1.00000000e-02   3.70000000e-01   1.71627393e-04   2.46872835e-16   3.94784176e+01  -7.73510487e-18   3.68711987e+01 
39           1.00000000e-02   3.80000000e-01   1.72426848e-04   2.54679090e-16   3.94784176e+01  -1.18652375e-17   3.68711987e+01 
40           1.00000000e-02   3.90000000e-01   1.73280345e-04   2.59232739e-16   3.94784176e+01  -2.06404989e-17   3.68711987e+01 
41           1.00000000e-02   4.00000000e-01   1.74128154e-04   2.66930575e-16   3.94784176e+01  -1.90074193e-18   3.68711987e+01 
42           1.00000000e-02   4.10000000e-01   1.75000336e-04   2.75062091e-16   3.94784176e+01  -2.28122913e-17   3.68711987e+01 
43           1.00000000e-02   4.20000000e-01   1.75895900e-04   2.80157841e-16   3.94784176e+01  -2.38456715e-17   3.68711987e+01 
44           1.00000000e-02   4.30000000e-01   1.76787018e-04   2.86012533e-16   3.94784176e+01  -5.44133965e-18   3.68711987e+01 
45           1.00000000e-02   4.40000000e-01   1.77729722e-04   2.89698820e-16   3.94784176e+01   9.48676901e-20   3.68711987e+01 
46           1.00000000e-02   4.50000000e-01   1.78658386e-04   2.94794571e-16   3.94784176e+01   1.67034897e-17   3.68711987e+01 
47           1.00000000e-02   4.60000000e-01   1.79629247e-04   3.00215582e-16   3.94784176e+01   1.83297930e-18   3.68711987e+01 
48           1.00000000e-02   4.70000000e-01   1.80603406e-04   3.08889199e-16   3.94784176e+01  -3.83638162e-17   3.68711987e+01 
49           1.00000000e-02   4.80000000e-01   1.81594090e-04   3.15285992e-16   3.94784176e+01  -4.37306170e-17   3.68711987e+01 
50           1.00000000e-02   4.90000000e-01   1.82613072e-04   3.21791205e-16   3.94784176e+01  -2.63257840e-18   3.68711987e+01 
51           1.00000000e-02   5.00000000e-01   1.83623863e-04   3.26778535e-16   3.94784176e+01  -1.60665209e-17   3.68711987e+01 
52           1.00000000e-02   5.10000000e-01   1.84686979e-04   3.34584790e-16   3.94784176e+01  -3.70729380e-17   3.68711987e+01 
53           1.00000000e-02   5.20000000e-01   1.85731695e-04   3.42607887e-16   3.94784176e+01  -2.09454307e-17   3.68711987e+01 
54           1.00000000e-02   5.30000000e-01   1.86824718e-04   3.45209972e-16   3.94784176e+01  -4.40457133e-20   3.68711987e+01 
55           1.00000000e-02   5.40000000e-01   1.87911727e-04   3.51932025e-16   3.94784176e+01  -1.45554142e-17   3.68711987e+01 
56           1.00000000e-02   5.50000000e-01   1.89025874e-04   3.57786717e-16   3.94784176e+01  -2.67696293e-17   3.68711987e+01 
57           1.00000000e-02   5.60000000e-01   1.90154435e-04   3.60605643e-16   3.94784176e+01  -2.84264257e-18   3.68711987e+01 
58           1.00000000e-02   5.70000000e-01   1.91290030e-04   3.65376132e-16   3.94784176e+01   1.24683250e-18   3.68711987e+01 
59           1.00000000e-02   5.80000000e-01   1.92459392e-04   3.71230824e-16   3.94784176e+01  -4.74202925e-17   3.68711987e+01 
60           1.00000000e-02   5.90000000e-01   1.93616764e-04   3.81639165e-16   3.94784176e+01   3.40846058e-18   3.68711987e+01 
