shear_layer_ROM 200 200 1.000e+100
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
1            1.00000000e-02   0.00000000e+00   1.55017145e-04   0.00000000e+00   3.94784176e+01   1.53740715e-17   3.68711987e+01
2            1.00000000e-02   1.00000000e-02   1.55091251e-04   2.94902991e-17   3.94784176e+01  -5.61015332e-17   3.68711987e+01 
3            1.00000000e-02   2.00000000e-02   1.55200289e-04   3.16587034e-17   3.94784176e+01  -4.18298751e-17   3.68711987e+01 
4            1.00000000e-02   3.00000000e-02   1.55330916e-04   3.77302356e-17   3.94784176e+01  -8.06375366e-19   3.68711987e+01 
5            1.00000000e-02   4.00000000e-02   1.55461927e-04   3.53449908e-17   3.94784176e+01  -7.59195631e-18   3.68711987e+01 
6            1.00000000e-02   5.00000000e-02   1.55641647e-04   3.70797143e-17   3.94784176e+01  -1.28647364e-17   3.68711987e+01 
7            1.00000000e-02   6.00000000e-02   1.55829149e-04   3.79470760e-17   3.94784176e+01  -1.75827099e-17   3.68711987e+01 
8            1.00000000e-02   7.00000000e-02   1.56023577e-04   3.51281504e-17   3.94784176e+01  -1.28723597e-17   3.68711987e+01 
9            1.00000000e-02   8.00000000e-02   1.56267572e-04   3.88144378e-17   3.94784176e+01  -2.08217639e-17   3.68711987e+01 
10           1.00000000e-02   9.00000000e-02   1.56511474e-04   3.65918233e-17   3.94784176e+01  -1.06827795e-17   3.68711987e+01 
11           1.00000000e-02   1.00000000e-01   1.56777273e-04   3.29597460e-17   3.94784176e+01  -3.80902246e-17   3.68711987e+01 
12           1.00000000e-02   1.10000000e-01   1.57077426e-04   3.59955121e-17   3.94784176e+01   1.62621856e-17   3.68711987e+01 
13           1.00000000e-02   1.20000000e-01   1.57376955e-04   3.45860493e-17   3.94784176e+01  -3.86899239e-17   3.68711987e+01 
14           1.00000000e-02   1.30000000e-01   1.57714614e-04   3.51281504e-17   3.94784176e+01  -3.60793684e-17   3.68711987e+01 
15           1.00000000e-02   1.40000000e-01   1.58070004e-04   4.28259858e-17   3.94784176e+01  -3.02441584e-17   3.68711987e+01 
16           1.00000000e-02   1.50000000e-01   1.58424089e-04   3.74591851e-17   3.94784176e+01  -1.53592484e-17   3.68711987e+01 
17           1.00000000e-02   1.60000000e-01   1.58834129e-04   3.41523684e-17   3.94784176e+01  -2.02474756e-17   3.68711987e+01 
18           1.00000000e-02   1.70000000e-01   1.59243540e-04   3.57244616e-17   3.94784176e+01  -3.13791826e-17   3.68711987e+01 
19           1.00000000e-02   1.80000000e-01   1.59669274e-04   3.85975973e-17   3.94784176e+01  -6.48657831e-18   3.68711987e+01 
20           1.00000000e-02   1.90000000e-01   1.60133787e-04   3.40439482e-17   3.94784176e+01  -1.65442475e-17   3.68711987e+01 
21           1.00000000e-02   2.00000000e-01   1.60595705e-04   3.49113100e-17   3.94784176e+01   1.33390749e-17   3.68711987e+01 
22           1.00000000e-02   2.10000000e-01   1.61094726e-04   3.92481186e-17   3.94784176e+01  -3.22177452e-17   3.68711987e+01 
23           1.00000000e-02   2.20000000e-01   1.61611005e-04   3.92481186e-17   3.94784176e+01  -2.27902685e-17   3.68711987e+01 
24           1.00000000e-02   2.30000000e-01   1.62126230e-04   3.29597460e-17   3.94784176e+01   1.63392656e-17   3.68711987e+01 
25           1.00000000e-02   2.40000000e-01   1.62696556e-04   3.62225170e-17   3.94784176e+01   2.42386948e-17   3.68711987e+01 
26           1.00000000e-02   2.50000000e-01   1.63262652e-04   3.41523684e-17   3.94784176e+01  -4.41676860e-17   3.68711987e+01 
27           1.00000000e-02   2.60000000e-01   1.63852183e-04   3.88144378e-17   3.94784176e+01  -3.20212335e-17   3.68711987e+01 
28           1.00000000e-02   2.70000000e-01   1.64471385e-04   3.66460334e-17   3.94784176e+01  -7.83166663e-18   3.68711987e+01 
29           1.00000000e-02   2.80000000e-01   1.65085066e-04   3.65376132e-17   3.94784176e+01  -2.06574395e-17   3.68711987e+01 
30           1.00000000e-02   2.90000000e-01   1.65749604e-04   3.50739403e-17   3.94784176e+01  -1.99933657e-17   3.68711987e+01 
31           1.00000000e-02   3.00000000e-01   1.66415316e-04   3.51281504e-17   3.94784176e+01   2.29207116e-18   3.68711987e+01 
32           1.00000000e-02   3.10000000e-01   1.67097071e-04   3.76218154e-17   3.94784176e+01   3.27852573e-17   3.68711987e+01 
33           1.00000000e-02   3.20000000e-01   1.67814359e-04   3.90312782e-17   3.94784176e+01  -1.09165606e-17   3.68711987e+01 
34           1.00000000e-02   3.30000000e-01   1.68523936e-04   3.94649591e-17   3.94784176e+01  -5.71069613e-17   3.68711987e+01 
35           1.00000000e-02   3.40000000e-01   1.69281921e-04   3.81639165e-17   3.94784176e+01  -3.77759754e-17   3.68711987e+01 
36           1.00000000e-02   3.50000000e-01   1.70041815e-04   3.46944695e-17   3.94784176e+01   9.61890615e-18   3.68711987e+01 
37           1.00000000e-02   3.60000000e-01   1.70817712e-04   3.53449908e-17   3.94784176e+01  -1.69694581e-17   3.68711987e+01 
38           1.00000000e-02   3.70000000e-01   1.71627393e-04   3.68628739e-17   3.94784176e+01  -2.32425841e-18   3.68711987e+01 
39           1.00000000e-02   3.80000000e-01   1.72426848e-04   3.66460334e-17   3.94784176e+01  -2.67493005e-17   3.68711987e+01 
40           1.00000000e-02   3.90000000e-01   1.73280345e-04   3.57786717e-17   3.94784176e+01  -5.31597878e-18   3.68711987e+01 
41           1.00000000e-02   4.00000000e-01   1.74128154e-04   3.26886955e-17   3.94784176e+01  -7.90112333e-18   3.68711987e+01 
42           1.00000000e-02   4.10000000e-01   1.75000336e-04   3.74659613e-17   3.94784176e+01  -3.00154595e-17   3.68711987e+01 
43           1.00000000e-02   4.20000000e-01   1.75895900e-04   3.56702515e-17   3.94784176e+01  -3.51959130e-17   3.68711987e+01 
44           1.00000000e-02   4.30000000e-01   1.76787018e-04   3.70797143e-17   3.94784176e+01  -2.28631133e-17   3.68711987e+01 
45           1.00000000e-02   4.40000000e-01   1.77729722e-04   3.59955121e-17   3.94784176e+01  -3.75709934e-17   3.68711987e+01 
46           1.00000000e-02   4.50000000e-01   1.78658386e-04   3.71881345e-17   3.94784176e+01  -3.77573407e-17   3.68711987e+01 
47           1.00000000e-02   4.60000000e-01   1.79629247e-04   4.22838847e-17   3.94784176e+01  -4.51231392e-17   3.68711987e+01 
48           1.00000000e-02   4.70000000e-01   1.80603406e-04   3.96817995e-17   3.94784176e+01  -2.50823396e-17   3.68711987e+01 
49           1.00000000e-02   4.80000000e-01   1.81594090e-04   3.88144378e-17   3.94784176e+01  -2.99341444e-17   3.68711987e+01 
