shear_layer 50 50 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
1            1.00000000e-02   0.00000000e+00   4.99443027e-03   0.00000000e+00   6.65439925e-15  -2.61292724e-17   1.71319774e+01
2            1.00000000e-02   1.00000000e-02   3.80734685e-03   4.94396191e-17   6.40112963e-15  -1.94275477e-17   1.71241693e+01 
3            1.00000000e-02   2.00000000e-02   3.78586881e-03   6.02816408e-17  -3.15719673e-15   1.24886538e-17   1.71163873e+01 
4            1.00000000e-02   3.00000000e-02   3.76455429e-03   8.32667268e-17  -1.07899800e-15   3.49655201e-18   1.71086296e+01 
5            1.00000000e-02   4.00000000e-02   3.74344205e-03   9.23740251e-17  -1.29063427e-15   3.80554963e-17   1.71008961e+01 
6            1.00000000e-02   5.00000000e-02   3.72253265e-03   1.15359111e-16   4.11823353e-15   2.56752627e-17   1.70931865e+01 
7            1.00000000e-02   6.00000000e-02   3.70182511e-03   1.19641710e-16  -1.21083699e-15  -1.61071785e-17   1.70855005e+01 
8            1.00000000e-02   7.00000000e-02   3.68131842e-03   1.44849410e-16   5.37417333e-15   2.26327204e-18   1.70778379e+01 
9            1.00000000e-02   8.00000000e-02   3.66101155e-03   1.57426155e-16   2.93862157e-15   1.84653183e-17   1.70701986e+01 
10           1.00000000e-02   9.00000000e-02   3.64090345e-03   1.53523028e-16   3.58393870e-15  -1.73269060e-17   1.70625823e+01 
11           1.00000000e-02   1.00000000e-01   3.62099306e-03   1.76508114e-16  -1.21430643e-16   5.91635573e-17   1.70549887e+01 
12           1.00000000e-02   1.10000000e-01   3.60127930e-03   2.02908437e-16   7.99707522e-15   1.30781887e-17   1.70474178e+01 
13           1.00000000e-02   1.20000000e-01   3.58176106e-03   1.98625838e-16  -1.82492910e-15   1.91768259e-18   1.70398693e+01 
14           1.00000000e-02   1.30000000e-01   3.56243723e-03   2.61672194e-16  -8.95117314e-16  -7.33191719e-18   1.70323429e+01 
